total_income,loan_amount,term,interest_rate,own_car,own_house,nr_children,income_type,education_type,family_status,housing_type,region_population_ratio,days_birth,days_employed,days_registration,mobile_number,phone_number,email,days_phone_change,occupation_type,family_count,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,Default
157500.0,288562.5,30,3.7373953109719826,Y,N,0,Commercial associate,Secondary / secondary special,Married,Apartment,0.025164,-11966,-229,-979.0,1,0,0,0.0,Drivers,2.0,,0.5413083136937522,0.2366108235287817,0,0,0,0,0
76500.0,225000.0,48,3.6543000620149115,N,Y,3,Working,Secondary / secondary special,Separated,Co-op house,0.028663,-10461,-2371,-1050.0,1,0,0,-2547.0,Laborers,4.0,,0.3954228844563554,0.6738300778602003,0,1,0,0,0
67500.0,409653.0,12,3.2628648145119294,Y,N,0,Working,Secondary / secondary special,Civil marriage,House,0.035792,-11130,-1188,-4868.0,1,0,0,-1502.0,Laborers,2.0,,0.6494167710874135,0.0429292065579847,0,1,0,0,1
180000.0,328405.5,24,4.773736105483226,Y,N,1,Working,Secondary / secondary special,Separated,House,0.020713,-13525,-5090,-2064.0,1,0,0,-1611.0,Laborers,2.0,0.5128106773677678,0.3378376202520429,0.8528284668510541,0,1,0,0,0
130500.0,1225224.0,60,2.8679607317454385,N,N,0,Pensioner,Secondary / secondary special,Married,Rented room,0.007305,-20386,365243,-1731.0,1,0,0,-1181.0,,2.0,0.5954401619944538,0.5371736555213606,0.3672910183026313,0,0,0,0,0
171000.0,500211.0,30,3.6116913706429115,Y,Y,1,State servant,Higher education,Married,Apartment,0.025164,-10966,-750,-3857.0,1,0,0,0.0,Core staff,3.0,0.5024800722753958,0.6896352967338886,0.2009260877159709,0,1,0,0,0
112500.0,364846.5,42,4.211575608155657,N,Y,1,Working,Secondary / secondary special,Married,Apartment,0.020246,-14759,-4724,-5705.0,1,0,0,-1777.0,Laborers,3.0,0.2491962755372284,0.4152755918532403,0.3170317785834444,0,0,0,0,0
189000.0,544491.0,42,4.090488993549091,Y,N,2,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.007114,-15410,365243,-6788.0,1,1,0,-2381.0,,4.0,0.4155731717389158,0.1720640618884363,0.5989262182569273,0,1,0,0,0
171000.0,234000.0,36,3.6857735313265696,N,Y,0,Commercial associate,Secondary / secondary special,Married,Rented room,0.018209,-17481,-1324,-13.0,1,0,0,-1874.0,Sales staff,2.0,0.2709459748134637,0.3431803158447429,0.2340151665320674,0,1,0,0,1
90000.0,517788.0,12,3.93250441807157,N,Y,0,Working,Secondary / secondary special,Single / not married,House,0.018209,-19283,-3314,-345.0,1,0,0,-2588.0,Private service staff,1.0,0.8707428113827687,0.5086715103826754,,0,1,0,0,0
112500.0,634482.0,36,3.3530527169685613,N,Y,0,Working,Higher education,Single / not married,Rented room,0.0031219999999999,-14446,-3161,-861.0,1,0,0,-990.0,,1.0,0.6713401592315842,0.6328457686959241,0.475849908720221,0,1,0,0,0
103500.0,450000.0,12,2.888945455331431,Y,N,1,Working,Secondary / secondary special,Married,Rented studio,0.010556,-14520,-2614,-3491.0,1,0,0,-1983.0,Laborers,3.0,,0.0897002675165931,0.3606125659189888,0,1,0,0,0
202500.0,485640.0,30,3.4546014073417077,Y,N,0,Working,Secondary / secondary special,Single / not married,Apartment,0.025164,-14134,-1719,-2091.0,1,1,0,-157.0,Drivers,1.0,0.3622480468770283,0.5172430985249318,0.1528662291550415,0,0,0,1,0
135000.0,199080.0,12,3.9076747240656,N,Y,0,Commercial associate,Lower secondary,Widow,House,0.00702,-19731,-152,-7009.0,1,0,0,0.0,,1.0,,0.0177218287083109,0.1714683668967994,0,1,0,0,0
58500.0,269550.0,30,3.878817415307526,N,Y,0,Pensioner,Incomplete higher,Civil marriage,Co-op house,0.00963,-23420,365243,-962.0,1,0,0,-670.0,,2.0,,0.4943165569140841,0.8327850252992314,0,0,0,0,0
292500.0,495891.0,36,3.5364231972003797,N,Y,0,Pensioner,Higher education,Married,House,0.072508,-22008,365243,-10401.0,1,0,0,-615.0,,2.0,,0.7825324398791453,,0,0,0,0,0
90000.0,970380.0,42,4.057934644962725,N,N,0,Working,Incomplete higher,Single / not married,Rented room,0.0145199999999999,-8172,-1122,-3039.0,1,0,0,-720.0,Security staff,1.0,0.1695511935795482,0.2052545831055498,,0,1,0,0,0
126000.0,900000.0,24,3.786342155015636,N,N,2,Working,Secondary / secondary special,Married,Rented room,0.022625,-11686,-3410,-159.0,1,1,0,-265.0,Drivers,4.0,0.381521659136104,0.6380532419115261,,0,0,0,0,0
90000.0,270000.0,12,3.5290763007753423,Y,N,0,Commercial associate,Secondary / secondary special,Married,Rented room,0.026392,-20291,-620,-9151.0,1,0,0,-572.0,,2.0,,0.7066959000989788,,0,1,0,0,0
225000.0,148365.0,24,3.5210448334380957,N,Y,0,Commercial associate,Secondary / secondary special,Married,House,0.010276,-15980,-378,-8904.0,1,0,0,0.0,Core staff,2.0,,0.7322116316555722,,0,1,0,0,0
202500.0,1249740.0,60,2.865615616608765,Y,N,2,Working,Secondary / secondary special,Married,Rented room,0.032561,-15340,-2397,-5353.0,1,0,0,-1739.0,Laborers,4.0,0.2003971108843912,0.7746087058962886,0.3523399726917038,0,1,0,0,0
198000.0,254700.0,12,4.442209545763134,N,Y,0,Pensioner,Secondary / secondary special,Single / not married,Rented room,0.035792,-23889,365243,-6911.0,1,0,0,-245.0,,1.0,,0.4212720947835376,0.7981372313187245,0,1,0,0,0
157500.0,276813.0,12,3.924045820686067,Y,Y,0,Commercial associate,Higher education,Married,Rented studio,0.035792,-18112,-486,-10542.0,1,1,0,-1320.0,,2.0,,0.5064852579911006,0.633031641417419,0,0,0,0,0
270000.0,1125000.0,36,2.2094166964347943,N,N,0,Working,Higher education,Separated,With parents,0.018209,-17888,-3010,-9098.0,1,1,0,-823.0,Managers,1.0,0.8587248323801091,0.5687794307736778,0.5513812618027899,0,1,0,0,0
67500.0,378180.0,48,3.9230002580805157,N,N,1,State servant,Secondary / secondary special,Married,House,0.020246,-11845,-511,-4214.0,1,0,0,-2.0,Laborers,3.0,0.1881049543094016,0.0487356394608949,,0,1,0,0,0
202500.0,970380.0,24,2.117118034845049,Y,N,0,Commercial associate,Secondary / secondary special,Civil marriage,Apartment,0.016612,-13980,-2651,-5096.0,1,0,0,-246.0,Laborers,2.0,,0.6248738849061876,0.4223696523543468,0,1,0,0,0
126000.0,393543.0,48,4.366986937621205,Y,Y,1,Working,Secondary / secondary special,Married,Rented room,0.025164,-19320,-2721,-7995.0,1,0,0,-1805.0,,3.0,,0.6426059845351004,0.3825018041447388,0,1,0,0,0
135000.0,1125000.0,54,2.0279296235852984,N,Y,0,Working,Secondary / secondary special,Married,Apartment,0.025164,-19378,-947,-6037.0,1,0,0,-1201.0,Security staff,2.0,0.3877627264257933,0.5904722055389585,0.5280927512030451,0,1,0,0,0
135000.0,225000.0,24,3.0082199893534662,Y,N,0,Working,Secondary / secondary special,Married,House,0.006305,-12616,-2138,-6.0,1,0,0,-1519.0,Sales staff,2.0,0.3305007849957281,0.2618354976391669,,0,1,0,0,1
112500.0,675000.0,54,3.228088232223287,N,Y,0,Pensioner,Lower secondary,Married,Co-op house,0.026392,-21129,365243,-10519.0,1,0,0,-2199.0,,2.0,,0.7015388254649868,0.524496446363472,0,1,0,0,0
225000.0,284400.0,12,2.9252036653330564,N,N,0,Working,Higher education,Single / not married,Rented studio,0.0116569999999999,-11543,-1065,-10577.0,1,0,0,-820.0,Drivers,1.0,0.0897860433690918,0.6628795872335134,0.3474182272002641,0,1,0,0,1
360000.0,1042560.0,60,3.472118473418895,Y,Y,0,Commercial associate,Higher education,Single / not married,Apartment,0.030755,-18433,-942,-10731.0,1,0,0,-466.0,Managers,1.0,,0.6459637736134572,0.3962195720630885,0,0,0,0,0
90000.0,722394.0,30,3.3801333743520603,Y,Y,0,Pensioner,Higher education,Civil marriage,House,0.025164,-22009,365243,-85.0,1,0,0,-1501.0,,2.0,,0.4118071625327797,0.6910212267577837,0,0,0,0,0
144000.0,604152.0,12,3.158893860870084,Y,Y,2,Working,Higher education,Married,Co-op house,0.031329,-16118,-5791,-3190.0,1,1,0,-1964.0,Laborers,4.0,0.177914498519583,0.4677646385801844,,0,1,0,0,0
225000.0,203760.0,42,4.067809713034934,Y,N,1,Commercial associate,Higher education,Married,House,0.035792,-9221,-173,-759.0,1,0,0,-169.0,,3.0,0.2271191692754599,0.5137312717015405,,0,0,0,0,0
202500.0,990000.0,24,3.0779591013752237,N,Y,0,Working,Secondary / secondary special,Married,House,0.020713,-10021,-963,-4703.0,1,0,0,-1347.0,Sales staff,2.0,0.2311237645073376,0.6132042329369451,0.6690566947824041,0,1,0,0,0
135000.0,1339884.0,30,2.9831815021894093,Y,N,0,Commercial associate,Secondary / secondary special,Married,Apartment,0.035792,-17359,-3090,-9280.0,1,0,0,-1928.0,Cleaning staff,2.0,,0.3585684988353451,0.501075160239048,0,1,0,0,0
112500.0,450000.0,12,2.7866866564546284,Y,Y,0,Working,Incomplete higher,Single / not married,Rented room,0.018209,-9249,-417,-4207.0,1,1,0,-1300.0,Sales staff,1.0,0.1779946709310164,0.3096522620619629,,0,1,0,0,0
202500.0,1288350.0,54,3.85941526680518,N,Y,0,Working,Higher education,Married,Rented studio,0.026392,-14598,-619,-1456.0,1,1,0,0.0,Laborers,2.0,0.716701839564731,0.6560142549336128,0.722392890081304,0,1,0,0,0
135000.0,1120500.0,24,2.3833520171325926,Y,N,0,Working,Secondary / secondary special,Married,With parents,0.0145199999999999,-13315,-2752,-6469.0,1,0,0,-1851.0,Drivers,2.0,,0.6890077610009161,0.3539876078507373,0,0,0,0,0
81000.0,284400.0,12,3.5923545560173906,N,Y,2,Working,Secondary / secondary special,Married,Rented room,0.0145199999999999,-10108,-511,-4156.0,1,1,0,-282.0,Drivers,4.0,,0.2016540822157123,0.0608545969659239,0,1,0,0,0
292500.0,973710.0,42,2.4443742121147563,Y,N,0,Working,Higher education,Civil marriage,With parents,0.020246,-11381,-2546,-5387.0,1,0,0,0.0,Drivers,2.0,,0.1197456699572541,0.0612681138492898,0,0,0,0,1
