total_income,loan_amount,term,interest_rate,own_car,own_house,nr_children,income_type,education_type,family_status,housing_type,region_population_ratio,days_birth,days_employed,days_registration,mobile_number,phone_number,email,days_phone_change,occupation_type,family_count,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7
270000.0,888840.0,48,2.3443987421561943,N,Y,1,Commercial associate,Higher education,Married,House,0.016612,-12741,-1817,-12356.0,1,1,0,-1866.0,Core staff,3.0,,0.4090556103584882,0.6879328378491735,0,1,0,0
90000.0,562491.0,36,3.1955844452452866,N,Y,0,Working,Secondary / secondary special,Married,Rented studio,0.018634,-19593,-1167,-3368.0,1,1,0,-1821.0,Laborers,2.0,0.3980792810943653,0.6937947880247003,0.5638350489514956,0,1,0,0
225000.0,790830.0,48,3.1568871147522284,Y,Y,0,Working,Secondary / secondary special,Single / not married,House,0.025164,-10858,-587,-1219.0,1,0,1,0.0,Laborers,1.0,0.0238452627466294,0.4205685158379167,0.6925590674998008,0,1,0,0
135000.0,900000.0,42,3.472025606657393,N,N,0,Commercial associate,Secondary / secondary special,Married,Rented room,0.00963,-13930,-3043,-2854.0,1,1,0,-1068.0,Sales staff,2.0,,0.1084183533525079,0.4418358231994413,0,0,0,1
67500.0,808650.0,24,2.610667670423951,N,N,0,Pensioner,Secondary / secondary special,Single / not married,Apartment,0.003813,-22061,365243,-13006.0,1,1,0,-488.0,,1.0,,0.5085020866041962,0.7713615919194317,0,1,0,0
225000.0,450000.0,12,3.5632629243866525,Y,Y,0,Working,Higher education,Married,Co-op house,0.014464,-19540,-1819,-4407.0,1,0,0,-404.0,Core staff,2.0,0.2527322468205114,0.4643255083886864,0.2910973802776635,0,1,0,0
126000.0,673875.0,24,3.4164861549838594,N,N,0,Pensioner,Secondary / secondary special,Widow,Co-op house,0.018801,-23706,365243,-5374.0,1,0,0,-1274.0,,1.0,,0.5742094638357199,0.6512602186973006,0,0,0,0
225000.0,592560.0,36,4.6385840407655055,N,Y,0,Commercial associate,Secondary / secondary special,Separated,Rented studio,0.007114,-11328,-1100,-5110.0,1,0,0,-561.0,Managers,1.0,0.3028454540808289,0.529684976253026,0.7281412993111438,0,1,0,0
54000.0,135000.0,48,3.638341617459523,N,N,0,Pensioner,Secondary / secondary special,Married,Rented room,0.018209,-20678,365243,-2613.0,1,0,0,-2.0,,2.0,,0.3927025006863496,0.3312508645909018,0,0,0,0
67500.0,225000.0,24,4.174956438268834,N,Y,0,Pensioner,Secondary / secondary special,Married,House,0.006852,-24688,365243,-851.0,1,0,0,-1635.0,,2.0,,0.2186259542455916,0.5762088360175724,0,1,0,0
135000.0,835605.0,54,2.8594310874344604,Y,Y,0,Working,Secondary / secondary special,Married,Rented studio,0.025164,-16523,-223,-7622.0,1,0,0,-2113.0,,2.0,0.4883875799269889,0.1877821123078156,0.6413682574954046,0,1,0,0
180000.0,1223010.0,30,2.2253066686019896,Y,N,1,Working,Secondary / secondary special,Married,Rented room,0.026392,-14842,-376,-3623.0,1,1,0,-1589.0,Laborers,3.0,0.7022779104142572,0.6442615950377829,0.7700870700124128,0,1,0,0
90000.0,157914.0,30,3.5916368962351752,N,Y,0,Working,Secondary / secondary special,Widow,House,0.035792,-19945,-957,-4330.0,1,0,0,-1550.0,,1.0,,0.2481009482241907,0.722392890081304,0,1,0,0
306000.0,855000.0,12,4.265614085102169,N,Y,0,Working,Secondary / secondary special,Separated,House,0.028663,-20774,-5955,-1398.0,1,0,0,-1658.0,Accountants,1.0,,0.6249763973805492,0.6785676886853644,0,1,0,0
162000.0,755190.0,60,3.7165389515349916,N,Y,0,Pensioner,Secondary / secondary special,Married,Rented studio,0.035792,-22547,365243,-5251.0,1,1,0,-2223.0,,2.0,,0.5773021227274686,,0,1,0,0
112500.0,1223010.0,48,3.287480183668438,N,N,2,Working,Secondary / secondary special,Married,With parents,0.031329,-9112,-1416,-504.0,1,0,0,-460.0,,4.0,0.1311386723655314,0.1667687585474401,0.3539876078507373,0,1,0,0
90000.0,95940.0,24,3.7878988146069186,N,Y,0,State servant,Secondary / secondary special,Married,Rented room,0.0196889999999999,-18382,-2740,-11011.0,1,1,0,-1956.0,Core staff,2.0,0.7242689286044731,0.5995354919253895,0.6754132910917112,0,1,0,0
315000.0,567000.0,12,3.3396637486623395,N,Y,0,Working,Secondary / secondary special,Married,Co-op house,0.010966,-16330,-3954,-1924.0,1,0,0,-1528.0,Laborers,2.0,,0.6506107185732342,0.7309873696832169,0,1,0,0
72000.0,343683.0,18,3.7028484961872317,N,Y,1,Working,Secondary / secondary special,Married,Co-op house,0.035792,-8856,-230,-1678.0,1,0,0,-326.0,Laborers,3.0,0.2227380945259424,0.1175686332124697,0.2276129150623945,0,1,0,0
135000.0,314055.0,12,3.2227548086773212,N,Y,0,Commercial associate,Secondary / secondary special,Married,Apartment,0.025164,-17297,-696,-7352.0,1,0,0,-1301.0,Cleaning staff,2.0,,0.4482577416346475,0.6817058776720116,0,1,0,0
450000.0,479700.0,42,2.996729563141224,Y,Y,2,Working,Secondary / secondary special,Single / not married,House,0.04622,-13415,-206,-1030.0,1,1,0,-529.0,Managers,3.0,0.7690812464649872,0.1814752115039188,0.3910549766342248,0,0,0,0
135000.0,781920.0,24,4.087148903541559,N,Y,0,Working,Secondary / secondary special,Married,Co-op house,0.020246,-21280,-1137,-1423.0,1,0,0,-526.0,Laborers,2.0,,0.3597764681816129,0.4188542886233217,0,1,0,0
157500.0,730017.0,30,3.765647000190313,N,N,0,Pensioner,Secondary / secondary special,Widow,House,0.0105,-22679,365243,-8341.0,1,0,0,-1.0,,1.0,,0.21109008715626,0.7738956942145427,0,0,0,0
135000.0,191880.0,12,4.107893826059405,Y,Y,0,Working,Secondary / secondary special,Married,Rented studio,0.030755,-16600,-3817,-10240.0,1,0,0,-2938.0,Sales staff,2.0,0.3824001658494501,0.5395866503301898,0.6925590674998008,0,1,0,0
202500.0,534204.0,30,3.373682634021399,N,N,0,Working,Higher education,Married,House,0.030755,-18311,-6565,-11636.0,1,1,0,-1214.0,Accountants,2.0,0.7776328732964005,0.5428282072748145,0.5937175866150576,0,1,0,0
