iter	Passed	Remaining
0	173	173774
1	187	93778
2	202	67402
3	218	54307
4	232	46220
5	242	40253
6	251	35680
7	257	31951
8	263	29045
9	270	26739
10	275	24781
11	280	23128
12	286	21747
13	291	20546
14	296	19488
15	302	18601
16	308	17815
17	313	17102
18	318	16463
19	324	15909
20	330	15420
21	349	15549
22	371	15782
23	380	15490
24	389	15201
25	398	14914
26	415	14978
27	422	14677
28	429	14376
29	436	14103
30	443	13847
31	449	13598
32	456	13362
33	462	13149
34	469	12936
35	475	12736
36	482	12559
37	488	12361
38	494	12176
39	499	11982
40	504	11804
41	510	11647
42	516	11503
43	523	11368
44	529	11233
45	534	11091
46	540	10959
47	545	10819
48	551	10695
49	556	10565
50	561	10455
51	567	10341
52	572	10231
53	577	10120
54	582	10009
55	587	9904
56	592	9807
57	598	9724
58	603	9625
59	608	9531
60	613	9448
61	618	9361
62	623	9275
63	628	9194
64	633	9119
65	639	9056
66	645	8989
67	650	8920
68	656	8858
69	663	8809
70	668	8752
71	674	8696
72	682	8671
73	690	8635
74	697	8606
75	704	8569
76	712	8546
77	722	8534
78	729	8504
79	736	8474
80	744	8448
81	752	8426
82	759	8386
83	767	8367
84	773	8331
85	780	8300
86	789	8286
87	796	8259
88	804	8230
89	814	8232
90	822	8219
91	829	8189
92	836	8157
93	844	8142
94	851	8109
95	858	8081
96	864	8043
97	870	8013
98	877	7985
99	884	7957
100	890	7922
101	896	7893
102	902	7857
103	907	7817
104	912	7777
105	917	7738
106	922	7697
107	927	7663
108	932	7625
109	937	7586
110	943	7554
111	949	7524
112	954	7489
113	959	7458
114	966	7436
115	973	7419
116	981	7408
117	989	7399
118	997	7388
119	1006	7379
120	1014	7368
121	1024	7370
122	1034	7375
123	1044	7377
124	1054	7381
125	1063	7377
126	1073	7376
127	1083	7378
128	1096	7402
129	1107	7411
130	1118	7422
131	1128	7423
132	1142	7447
133	1156	7473
134	1172	7510
135	1187	7543
136	1196	7537
137	1207	7543
138	1216	7534
139	1224	7519
140	1231	7501
141	1240	7493
142	1248	7480
143	1256	7468
144	1262	7446
145	1273	7448
146	1280	7428
147	1288	7415
148	1296	7402
149	1305	7395
150	1311	7374
151	1318	7353
152	1324	7331
153	1330	7311
154	1337	7292
155	1343	7268
156	1349	7247
157	1354	7220
158	1360	7196
159	1366	7171
160	1371	7146
161	1377	7123
162	1383	7102
163	1388	7078
164	1399	7081
165	1407	7070
166	1412	7048
167	1418	7026
168	1423	7001
169	1429	6979
170	1436	6962
171	1441	6939
172	1448	6925
173	1454	6906
174	1463	6900
175	1485	6955
176	1495	6953
177	1504	6947
178	1512	6937
179	1521	6929
180	1531	6929
181	1540	6921
182	1551	6925
183	1560	6918
184	1567	6903
185	1573	6886
186	1579	6867
187	1585	6849
188	1593	6839
189	1599	6820
190	1605	6800
191	1611	6781
192	1617	6765
193	1624	6749
194	1631	6735
195	1639	6724
196	1646	6710
197	1653	6699
198	1661	6686
199	1667	6669
200	1673	6652
201	1679	6634
202	1685	6615
203	1690	6597
204	1697	6583
205	1704	6571
206	1712	6561
207	1719	6546
208	1726	6532
209	1733	6521
210	1741	6513
211	1749	6502
212	1758	6497
213	1766	6487
214	1776	6484
215	1783	6472
216	1791	6464
217	1797	6448
218	1804	6433
219	1811	6422
220	1818	6409
221	1826	6401
222	1833	6389
223	1843	6385
224	1853	6384
225	1861	6374
226	1867	6359
227	1873	6342
228	1878	6324
229	1884	6309
230	1890	6291
231	1895	6273
232	1901	6258
233	1906	6242
234	1912	6227
235	1918	6210
236	1924	6194
237	1929	6178
238	1935	6161
239	1940	6145
240	1947	6133
241	1953	6117
242	1958	6102
243	1965	6089
244	1970	6073
245	1976	6058
246	1981	6041
247	1986	6025
248	1992	6008
249	1997	5993
250	2003	5979
251	2009	5964
252	2015	5949
253	2020	5934
254	2026	5919
255	2035	5914
256	2043	5906
257	2051	5899
258	2059	5893
259	2068	5886
260	2075	5875
261	2081	5864
262	2088	5852
263	2095	5841
264	2101	5829
265	2108	5816
266	2113	5803
267	2120	5790
268	2127	5780
269	2135	5774
270	2147	5776
271	2165	5796
272	2174	5789
273	2183	5784
274	2191	5778
275	2202	5777
276	2210	5770
277	2218	5761
278	2228	5760
279	2241	5764
280	2254	5767
281	2272	5785
282	2291	5806
283	2308	5821
284	2321	5822
285	2332	5822
286	2340	5815
287	2353	5817
288	2365	5819
289	2376	5818
290	2387	5816
291	2398	5815
292	2406	5807
293	2417	5806
294	2427	5802
295	2441	5806
296	2452	5804
297	2462	5802
298	2474	5801
299	2491	5814
300	2516	5843
301	2538	5868
302	2557	5882
303	2571	5888
304	2585	5892
305	2598	5892
306	2611	5894
307	2622	5893
308	2633	5890
309	2646	5890
310	2658	5889
311	2667	5881
312	2675	5873
313	2683	5863
314	2694	5858
315	2700	5846
316	2712	5843
317	2721	5835
318	2729	5827
319	2739	5822
320	2748	5812
321	2758	5809
322	2766	5799
323	2776	5793
324	2785	5785
325	2793	5776
326	2801	5764
327	2809	5756
328	2817	5746
329	2827	5740
330	2837	5735
331	2846	5727
332	2856	5722
333	2865	5714
334	2875	5708
335	2884	5699
336	2917	5740
337	2926	5732
338	2937	5728
339	2946	5718
340	2955	5712
341	2963	5702
342	2973	5695
343	2984	5690
344	2991	5679
345	2998	5667
346	3006	5658
347	3017	5653
348	3026	5645
349	3037	5640
350	3048	5636
351	3057	5628
352	3067	5621
353	3074	5610
354	3082	5600
355	3090	5590
356	3099	5582
357	3106	5571
358	3113	5558
359	3120	5547
360	3127	5535
361	3135	5525
362	3142	5514
363	3150	5504
364	3156	5491
365	3164	5481
366	3171	5469
367	3177	5456
368	3185	5447
369	3191	5433
370	3197	5421
371	3205	5411
372	3213	5402
373	3221	5391
374	3232	5387
375	3244	5384
376	3253	5375
377	3264	5371
378	3274	5365
379	3296	5379
380	3315	5386
381	3335	5396
382	3354	5404
383	3366	5400
384	3374	5389
385	3383	5382
386	3395	5378
387	3404	5369
388	3412	5360
389	3422	5352
390	3431	5344
391	3439	5334
392	3453	5334
393	3463	5327
394	3475	5323
395	3485	5315
396	3496	5311
397	3504	5301
398	3516	5297
399	3535	5303
400	3546	5297
401	3554	5287
402	3562	5278
403	3588	5293
404	3620	5319
405	3652	5344
406	3679	5360
407	3701	5370
408	3712	5364
409	3723	5358
410	3736	5355
411	3752	5355
412	3763	5349
413	3773	5341
414	3789	5341
415	3804	5341
416	3816	5336
417	3827	5328
418	3838	5322
419	3850	5317
420	3862	5311
421	3875	5308
422	3886	5301
423	3896	5292
424	3906	5284
425	3915	5275
426	3926	5269
427	3935	5260
428	3947	5254
429	3960	5249
430	3970	5242
431	3979	5232
432	3988	5223
433	4002	5219
434	4013	5213
435	4026	5208
436	4039	5203
437	4058	5207
438	4073	5206
439	4088	5204
440	4102	5199
441	4111	5189
442	4121	5182
443	4131	5174
444	4153	5180
445	4164	5172
446	4173	5162
447	4184	5155
448	4193	5146
449	4205	5139
450	4216	5132
451	4224	5122
452	4236	5115
453	4247	5108
454	4256	5098
455	4266	5089
456	4276	5080
457	4285	5071
458	4292	5059
459	4303	5051
460	4310	5039
461	4322	5033
462	4334	5026
463	4341	5015
464	4353	5009
465	4362	4999
466	4370	4987
467	4379	4978
468	4392	4973
469	4402	4965
470	4416	4959
471	4431	4957
472	4440	4947
473	4452	4941
474	4463	4932
475	4472	4923
476	4481	4913
477	4489	4903
478	4501	4895
479	4510	4886
480	4520	4877
481	4529	4868
482	4537	4856
483	4546	4847
484	4554	4836
485	4563	4826
486	4571	4815
487	4580	4806
488	4589	4796
489	4601	4788
490	4610	4779
491	4619	4770
492	4627	4759
493	4635	4747
494	4645	4739
495	4653	4728
496	4662	4719
497	4671	4709
498	4681	4699
499	4700	4700
500	4713	4694
501	4731	4693
502	4744	4687
503	4754	4679
504	4764	4670
505	4776	4663
506	4787	4654
507	4797	4646
508	4804	4634
509	4814	4625
510	4824	4616
511	4834	4608
512	4845	4599
513	4854	4589
514	4864	4581
515	4878	4575
516	4888	4567
517	4898	4558
518	4911	4551
519	4921	4543
520	4930	4532
521	4940	4523
522	4948	4512
523	4956	4502
524	4965	4492
525	4976	4484
526	4985	4474
527	4995	4465
528	5005	4456
529	5014	4447
530	5025	4439
531	5033	4427
532	5044	4420
533	5054	4410
534	5064	4401
535	5074	4392
536	5085	4384
537	5094	4375
538	5105	4366
539	5114	4356
540	5131	4353
541	5145	4347
542	5155	4339
543	5163	4328
544	5175	4320
545	5186	4312
546	5194	4301
547	5203	4291
548	5212	4282
549	5222	4273
550	5230	4262
551	5239	4252
552	5247	4241
553	5256	4231
554	5263	4219
555	5272	4210
556	5279	4198
557	5289	4189
558	5296	4178
559	5306	4169
560	5315	4159
561	5323	4148
562	5333	4139
563	5341	4129
564	5352	4120
565	5359	4109
566	5369	4100
567	5377	4090
568	5387	4080
569	5394	4069
570	5403	4059
571	5410	4048
572	5419	4038
573	5426	4027
574	5434	4017
575	5441	4005
576	5450	3995
577	5456	3984
578	5465	3974
579	5473	3963
580	5481	3952
581	5487	3941
582	5493	3929
583	5499	3917
584	5505	3905
585	5512	3894
586	5519	3883
587	5527	3872
588	5534	3861
589	5541	3850
590	5550	3841
591	5560	3832
592	5566	3820
593	5571	3808
594	5580	3798
595	5586	3786
596	5594	3776
597	5600	3765
598	5605	3752
599	5614	3742
600	5620	3731
601	5627	3720
602	5632	3708
603	5638	3696
604	5645	3685
605	5650	3673
606	5656	3661
607	5662	3650
608	5667	3638
609	5673	3627
610	5679	3616
611	5685	3604
612	5691	3593
613	5697	3581
614	5703	3570
615	5710	3559
616	5716	3548
617	5723	3537
618	5729	3526
619	5736	3516
620	5744	3506
621	5750	3494
622	5758	3484
623	5764	3473
624	5771	3462
625	5777	3451
626	5784	3441
627	5791	3430
628	5797	3419
629	5805	3409
630	5811	3398
631	5816	3387
632	5823	3376
633	5830	3365
634	5837	3355
635	5843	3344
636	5849	3333
637	5856	3323
638	5863	3312
639	5869	3301
640	5875	3290
641	5881	3279
642	5889	3269
643	5894	3258
644	5901	3248
645	5909	3238
646	5915	3227
647	5921	3216
648	5928	3206
649	5936	3196
650	5942	3185
651	5949	3175
652	5959	3167
653	5967	3157
654	5974	3146
655	5980	3136
656	5987	3125
657	5992	3114
658	5998	3104
659	6006	3094
660	6013	3084
661	6020	3074
662	6027	3063
663	6034	3053
664	6042	3044
665	6067	3042
666	6077	3033
667	6091	3027
668	6104	3020
669	6117	3012
670	6137	3009
671	6149	3001
672	6159	2992
673	6173	2986
674	6185	2978
675	6192	2968
676	6205	2960
677	6219	2953
678	6231	2945
679	6241	2936
680	6252	2928
681	6261	2919
682	6273	2911
683	6287	2904
684	6314	2903
685	6323	2894
686	6340	2888
687	6359	2883
688	6371	2875
689	6380	2866
690	6389	2857
691	6397	2847
692	6405	2837
693	6413	2827
694	6420	2817
695	6429	2808
696	6437	2798
697	6447	2789
698	6455	2779
699	6463	2770
700	6471	2760
701	6479	2750
702	6486	2740
703	6492	2729
704	6499	2719
705	6505	2708
706	6511	2698
707	6517	2687
708	6523	2677
709	6529	2667
710	6535	2656
711	6543	2646
712	6551	2637
713	6558	2627
714	6564	2616
715	6569	2605
